```python?code_reference&code_event_index=5
import pandas as pd
import io
25|किशोरावस्था में किस प्रकार के अपराधों की दर अधिक होती है?|बाल अपराध (Juvenile Delinquency)|सफेदपोश अपराध|साइबर अपराध|अंतर्राष्ट्रीय अपराध|बाल अपराध (Juvenile Delinquency)|HomeScience_C5|30
26|किशोरावस्था में लड़कों में आवाज का भारी होना किस हार्मोन के कारण होता है?|एस्ट्रोजन|टेस्टोस्टेरोन|प्रोजेस्टेरोन|इन्सुलिन|टेस्टोस्टेरोन|HomeScience_C5|30
27|किशोरावस्था के दौरान व्यक्तिगत स्वच्छता (Personal Hygiene) में क्या शामिल नहीं है?|रोजाना नहाना|साफ़-सुथरे कपड़े पहनना|अत्यधिक जंक फूड खाना|दांतों को ब्रश करना|अत्यधिक जंक फूड खाना|HomeScience_C5|30
28|किशोरों के लिए व्यावसायिक मार्गदर्शन (Vocational Guidance) क्यों महत्वपूर्ण है?|सामाजिक अलगाव के लिए|अपने भविष्य के करियर का चुनाव करने में मदद के लिए|केवल शारीरिक विकास के लिए|स्कूल की फीस कम करने के लिए|अपने भविष्य के करियर का चुनाव करने में मदद के लिए|HomeScience_C5|30
29|मानव विकास की किस अवस्था में विपरीत लिंग के प्रति आकर्षण शुरू होता है?|प्रारंभिक बाल्यावस्था|उत्तर बाल्यावस्था|किशोरावस्था|प्रौढ़ावस्था|किशोरावस्था|HomeScience_C5|30
30|किशोरों के लिए एक दिन में कितने घंटे की नींद लेना आवश्यक माना जाता है?|4-5 घंटे|6-7 घंटे|8-10 घंटे|12 घंटे से अधिक|8-10 घंटे|HomeScience_C5|30
31|किशोरावस्था में होने वाले मुंहासे (Acne) का मुख्य कारण क्या है?|पानी की कमी|तेल ग्रंथियों की बढ़ी हुई गतिविधि|अत्यधिक व्यायाम|पढ़ाई का तनाव|तेल ग्रंथियों की बढ़ी हुई गतिविधि|HomeScience_C5|30
32|आत्महत्या के विचारों (Suicidal Ideation) को रोकने में सबसे प्रभावी उपाय क्या है?|समस्याओं को नजरअंदाज करना|पेशावर परामर्श (Professional Counseling) और समर्थन|अकेले रहने देना|अधिक टीवी देखना|पेशावर परामर्श (Professional Counseling) और समर्थन|HomeScience_C5|30
33|बुलिमिया नर्वोसा में किस प्रकार का व्यवहार शामिल होता है?|खाने से पूरी तरह परहेज करना|अत्यधिक खाना और फिर उल्टी या जुलाब का उपयोग करना|केवल स्वस्थ भोजन खाना|दिन भर थोड़ा-थोड़ा खाना|अत्यधिक खाना और फिर उल्टी या जुलाब का उपयोग करना|HomeScience_C5|30
34|किशोरों में 'हीरो वर्शिप' (Hero Worship) की प्रवृत्ति किस विकास से संबंधित है?|शारीरिक विकास|सामाजिक विकास|संज्ञानात्मक विकास|नैतिक विकास|सामाजिक विकास|HomeScience_C5|30
35|किशोरावस्था में लड़कियों के लिए आयरन की बढ़ी हुई आवश्यकता का मुख्य कारण क्या है?|विकास का उछाल|मासिक धर्म के कारण रक्त की हानि|वसा का जमाव|केवल मानसिक कार्य|मासिक धर्म के कारण रक्त की हानि|HomeScience_C5|30
36|किशोरावस्था के अंत तक व्यक्ति किस अवस्था में प्रवेश करता है?|बाल्यावस्था|प्रारंभिक प्रौढ़ावस्था|वृद्धावस्था|शैशवावस्था|प्रारंभिक प्रौढ़ावस्था|HomeScience_C5|30
37|किशोरों के लिए किस प्रकार के भोजन से बचना सबसे अच्छा है?|फल और सब्जियां|साबुत अनाज|अत्यधिक प्रसंस्कृत (Processed) और शर्करा युक्त भोजन|प्रोटीन युक्त खाद्य पदार्थ|अत्यधिक प्रसंस्कृत (Processed) और शर्करा युक्त भोजन|HomeScience_C5|30
38|कोहलबर्ग के नैतिक विकास के सिद्धांत के अनुसार, किशोर किस स्तर पर होते हैं?|पूर्व-परंपरागत स्तर|परंपरागत स्तर|उत्तर-परंपरागत स्तर|संवेदी प्रेरक स्तर|उत्तर-परंपरागत स्तर|HomeScience_C5|30
39|समय प्रबंधन (Time Management) कौशल किस अवस्था में महत्वपूर्ण हो जाते हैं?|शैशवावस्था|उत्तर बाल्यावस्था|किशोरावस्था|वृद्धावस्था|किशोरावस्था|HomeScience_C5|30
40|लिंग पहचान (Gender Identity) का विकास किस अवस्था में स्थिर होता है?|प्रारंभिक बाल्यावस्था|किशोरावस्था|प्रौढ़ावस्था|उत्तर बाल्यावस्था|किशोरावस्था|HomeScience_C5|30
41|किशोरावस्था में परिवार के सदस्यों के साथ संबंधों में क्या बदलाव आता है?|निर्भरता में वृद्धि|स्वतंत्रता की इच्छा के कारण दूरी और टकराव|संचार में सुधार|कोई बदलाव नहीं|स्वतंत्रता की इच्छा के कारण दूरी और टकराव|HomeScience_C5|30
42|फास्ट फूड (Fast Food) का अधिक सेवन किशोरों में किस समस्या को जन्म दे सकता है?|एनीमिया|मोटापा (Obesity)|त्वचा का साफ होना|अच्छी नींद|मोटापा (Obesity)|HomeScience_C5|30
43|किशोरावस्था में होने वाले यौन परिवर्तनों को क्या कहा जाता है?|विकास का उछाल|यौवनारंभ (Puberty)|संवेगात्मक विस्फोट|मानसिक विकास|यौवनारंभ (Puberty)|HomeScience_C5|30
44|आत्म-सम्मान को बेहतर बनाने के लिए किशोरों को क्या करना चाहिए?|दूसरों की नकल करना|अपनी शक्तियों और सीमाओं को पहचानना|समूह से अलग रहना|केवल पढ़ाई पर ध्यान देना|अपनी शक्तियों और सीमाओं को पहचानना|HomeScience_C5|30
45|किशोरों के लिए यौन संचारित संक्रमणों (STIs) से बचाव का सबसे प्रभावी तरीका क्या है?|केवल यौन शिक्षा|सुरक्षित यौन संबंध (Safe Sexual Practices)|तनाव प्रबंधन|संतुलित आहार|सुरक्षित यौन संबंध (Safe Sexual Practices)|HomeScience_C5|30
46|किशोरों में स्वस्थ आदतें जैसे व्यायाम और सही खान-पान क्यों आवश्यक हैं?|केवल मोटापा कम करने के लिए|शारीरिक और मानसिक स्वास्थ्य को बनाए रखने के लिए|केवल अकादमिक प्रदर्शन के लिए|दोस्तों के बीच लोकप्रिय होने के लिए|शारीरिक और मानसिक स्वास्थ्य को बनाए रखने के लिए|HomeScience_C5|30
47|किशोरावस्था में नेतृत्व कौशल (Leadership Skills) का विकास किस क्षेत्र में होता है?|केवल परिवार|स्कूल और सहपाठी समूह|केवल धार्मिक संस्थान|किसी भी क्षेत्र में नहीं|स्कूल और सहपाठी समूह|HomeScience_C5|30
48|किशोरावस्था में भावनाओं के प्रबंधन (Emotion Management) में कौन सा कौशल सबसे महत्वपूर्ण है?|दबाव को नजरअंदाज करना|सकारात्मक मुकाबला कौशल (Positive Coping Skills) सीखना|खुद को अकेला रखना|हर बात पर बहस करना|सकारात्मक मुकाबला कौशल (Positive Coping Skills) सीखना|HomeScience_C5|30
49|किशोरावस्था में किस प्रकार के खेल शारीरिक स्वास्थ्य के लिए सबसे अधिक फायदेमंद होते हैं?|बैठकर खेले जाने वाले खेल|आउटडोर खेल (Outdoor Sports)|मोबाइल गेम|केवल मानसिक खेल|आउटडोर खेल (Outdoor Sports)|HomeScience_C5|30
50|किशोरावस्था में उचित पोषण क्यों महत्वपूर्ण है?|केवल ऊंचाई बढ़ाने के लिए|तीव्र शारीरिक और मानसिक विकास का समर्थन करने के लिए|केवल वसा जमा करने के लिए|रोगों के प्रति प्रतिरोधक क्षमता कम करने के लिए|तीव्र शारीरिक और मानसिक विकास का समर्थन करने के लिए|HomeScience_C5|30


```

id|question|opt1|opt2|opt3|opt4|answer|tags|time\_limit\_seconds
1|किशोरावस्था की उम्र सीमा सामान्यतः क्या मानी जाती है?|5 से 10 वर्ष|12 से 18 वर्ष|18 से 25 वर्ष|0 से 5 वर्ष|12 से 18 वर्ष|HomeScience\_C5|30
2|किशोरावस्था को 'तूफ़ान और तनाव' की अवस्था किसने कहा है?|जीन पियाजे|स्टेनली हॉल|सिगमंड फ्रायड|एरिक एरिक्सन|स्टेनली हॉल|HomeScience\_C5|30
3|यौन परिपक्वता (Puberty) की शुरुआत किस अवस्था में होती है?|शैशवावस्था|बाल्यावस्था|किशोरावस्था|प्रौढ़ावस्था|किशोरावस्था|HomeScience\_C5|30
4|किशोरावस्था के दौरान लड़कियों में होने वाला पहला मासिक धर्म क्या कहलाता है?|रजोनिवृत्ति (Menopause)|गर्भधारण|रजोधर्म (Menarche)|मासिक चक्र|रजोधर्म (Menarche)|HomeScience\_C5|30
5|किशोरों के आहार में किस पोषक तत्व की आवश्यकता सबसे अधिक होती है?|विटामिन ए|आयरन और कैल्शियम|विटामिन डी|कार्बोहाइड्रेट|आयरन और कैल्शियम|HomeScience\_C5|30
6|एरिक एरिक्सन के अनुसार किशोरावस्था का मुख्य विकासात्मक कार्य क्या है?|विश्वास बनाम अविश्वास|पहल बनाम अपराधबोध|पहचान बनाम भूमिका भ्रम|उत्पादकता बनाम ठहराव|पहचान बनाम भूमिका भ्रम|HomeScience\_C5|30
7|तार्किक और अमूर्त रूप से सोचने की क्षमता किस अवस्था में विकसित होती है?|संवेदी प्रेरक अवस्था|पूर्व-संक्रियात्मक अवस्था|मूर्त संक्रियात्मक अवस्था|औपचारिक संक्रियात्मक अवस्था|औपचारिक संक्रियात्मक अवस्था|HomeScience\_C5|30
8|किस समस्या के कारण किशोरों को अपने शरीर की छवि (body image) के बारे में चिंता होती है?|तनाव (Stress)|खाने के विकार (Eating Disorders)|स्कूल छोड़ने की दर|व्यवहारिक समस्याएं|खाने के विकार (Eating Disorders)|HomeScience\_C5|30
9|किशोरावस्था में संवेगात्मक विकास की मुख्य विशेषता क्या है?|संवेगों में स्थिरता|संवेगों में तीव्रता और अस्थिरता|संवेगों का अभाव|केवल खुशी का अनुभव|संवेगों में तीव्रता और अस्थिरता|HomeScience\_C5|30
10|किशोरावस्था में सामाजिक विकास में सबसे महत्वपूर्ण समूह कौन सा होता है?|परिवार|शिक्षक|समूह (Peer Group)|रिश्तेदार|समूह (Peer Group)|HomeScience\_C5|30
11|किशोरों में एनीमिया (रक्त की कमी) का मुख्य कारण क्या है?|विटामिन डी की कमी|आयरन (लोहे) की कमी|कैल्शियम की कमी|अत्यधिक प्रोटीन|आयरन (लोहे) की कमी|HomeScience\_C5|30
12|किशोरावस्था में वजन घटाने के लिए अत्यधिक चिंता करना और खाना छोड़ देना क्या कहलाता है?|बुलिमिया नर्वोसा|एनोरेक्सिया नर्वोसा|ओबेसिटी|ओवरईटिंग|एनोरेक्सिया नर्वोसा|HomeScience\_C5|30
13|आत्म-सम्मान (Self-esteem) का विकास किस अवस्था में सबसे अधिक महत्वपूर्ण होता है?|शैशवावस्था|प्रौढ़ावस्था|किशोरावस्था|वृद्धावस्था|किशोरावस्था|HomeScience\_C5|30
14|किशोरावस्था में व्यक्तिगत स्वतंत्रता (Independence) की इच्छा का क्या परिणाम हो सकता है?|माता-पिता के साथ संबंधों में सुधार|माता-पिता से संघर्ष और मतभेद|स्कूल के प्रदर्शन में सुधार|सामाजिक अलगाव|माता-पिता से संघर्ष और मतभेद|HomeScience\_C5|30
15|यौन शिक्षा (Sex Education) का मुख्य उद्देश्य क्या है?|केवल यौन आकर्षण को बढ़ावा देना|यौन और प्रजनन स्वास्थ्य की सही जानकारी देना|केवल यौन क्रियाओं के बारे में बताना|सामाजिक अलगाव को कम करना|यौन और प्रजनन स्वास्थ्य की सही जानकारी देना|HomeScience\_C5|30
16|किशोरों में तनाव को कम करने के लिए क्या आवश्यक है?|अत्यधिक प्रतिस्पर्धा|शारीरिक गतिविधि और मनोरंजन|सामाजिक अलगाव|माता-पिता का अत्यधिक नियंत्रण|शारीरिक गतिविधि और मनोरंजन|HomeScience\_C5|30
17|किशोरावस्था में होने वाला 'विकास का उछाल' (Growth Spurt) क्या है?|मानसिक विकास में अचानक वृद्धि|शरीर की लंबाई और वजन में तीव्र वृद्धि|केवल सामाजिक कौशल का विकास|केवल भावनात्मक स्थिरता|शरीर की लंबाई और वजन में तीव्र वृद्धि|HomeScience\_C5|30
18|किशोरों के लिए आवश्यक प्रोटीन की मात्रा किस अवस्था के बच्चों से अधिक होती है?|शिशु|बाल्यावस्था|वृद्धावस्था|प्रौढ़ावस्था|बाल्यावस्था|HomeScience\_C5|30
19|किशोरों में मादक द्रव्यों के सेवन (Substance Abuse) का मुख्य कारण क्या हो सकता है?|उच्च आत्म-सम्मान|पीयर प्रेशर (समूह का दबाव)|बेहतर शैक्षणिक प्रदर्शन|स्वस्थ पारिवारिक संबंध|पीयर प्रेशर (समूह का दबाव)|HomeScience\_C5|30
20|किशोरावस्था में होने वाले शारीरिक बदलाव किसके कारण होते हैं?|पोषण की कमी|हार्मोनल परिवर्तन|सामाजिक दबाव|मानसिक तनाव|हार्मोनल परिवर्तन|HomeScience\_C5|30
21|आत्म-केन्द्रण (Egocentrism) किस अवस्था की एक सामान्य विशेषता है?|बाल्यावस्था|किशोरावस्था|प्रौढ़ावस्था|शैशवावस्था|किशोरावस्था|HomeScience\_C5|30
22|किशोरावस्था के लिए एक संतुलित आहार में वसा (Fats) का प्रतिशत कितना होना चाहिए?|5-10%|15-25%|30-40%|50% से अधिक|15-25%|HomeScience\_C5|30
23|किशोरों में दांतों और हड्डियों के मजबूत विकास के लिए कौन सा खनिज आवश्यक है?|सोडियम|पोटेशियम|कैल्शियम|आयोडीन|कैल्शियम|HomeScience\_C5|30
24|किशोरों में तनाव और चिंता का एक प्रमुख कारण क्या है?|पारिवारिक समर्थन|शैक्षणिक अपेक्षाएं (Academic Expectations)|पर्याप्त नींद|संतुलित आहार|शैक्षणिक अपेक्षाएं (Academic Expectations)|HomeScience\_C5|30
25|किशोरावस्था में किस प्रकार के अपराधों की दर अधिक होती है?|बाल अपराध (Juvenile Delinquency)|सफेदपोश अपराध|साइबर अपराध|अंतर्राष्ट्रीय अपराध|बाल अपराध (Juvenile Delinquency)|HomeScience\_C5|30
26|किशोरावस्था में लड़कों में आवाज का भारी होना किस हार्मोन के कारण होता है?|एस्ट्रोजन|टेस्टोस्टेरोन|प्रोजेस्टेरोन|इन्सुलिन|टेस्टोस्टेरोन|HomeScience\_C5|30
27|किशोरावस्था के दौरान व्यक्तिगत स्वच्छता (Personal Hygiene) में क्या शामिल नहीं है?|रोजाना नहाना|साफ़-सुथरे कपड़े पहनना|अत्यधिक जंक फूड खाना|दांतों को ब्रश करना|अत्यधिक जंक फूड खाना|HomeScience\_C5|30
28|किशोरों के लिए व्यावसायिक मार्गदर्शन (Vocational Guidance) क्यों महत्वपूर्ण है?|सामाजिक अलगाव के लिए|अपने भविष्य के करियर का चुनाव करने में मदद के लिए|केवल शारीरिक विकास के लिए|स्कूल के फीस कम करने के लिए|अपने भविष्य के करियर का चुनाव करने में मदद के लिए|HomeScience\_C5|30
29|मानव विकास की किस अवस्था में विपरीत लिंग के प्रति आकर्षण शुरू होता है?|प्रारंभिक बाल्यावस्था|उत्तर बाल्यावस्था|किशोरावस्था|प्रौढ़ावस्था|किशोरावस्था|HomeScience\_C5|30
30|किशोरों के लिए एक दिन में कितने घंटे की नींद लेना आवश्यक माना जाता है?|4-5 घंटे|6-7 घंटे|8-10 घंटे|12 घंटे से अधिक|8-10 घंटे|HomeScience\_C5|30
31|किशोरावस्था में होने वाले मुंहासे (Acne) का मुख्य कारण क्या है?|पानी की कमी|तेल ग्रंथियों की बढ़ी हुई गतिविधि|अत्यधिक व्यायाम|पढ़ाई का तनाव|तेल ग्रंथियों की बढ़ी हुई गतिविधि|HomeScience\_C5|30
32|आत्महत्या के विचारों (Suicidal Ideation) को रोकने में सबसे प्रभावी उपाय क्या है?|समस्याओं को नजरअंदाज करना|पेशावर परामर्श (Professional Counseling) और समर्थन|अकेले रहने देना|अधिक टीवी देखना|पेशावर परामर्श (Professional Counseling) और समर्थन|HomeScience\_C5|30
33|बुलिमिया नर्वोसा में किस प्रकार का व्यवहार शामिल होता है?|खाने से पूरी तरह परहेज करना|अत्यधिक खाना और फिर उल्टी या जुलाब का उपयोग करना|केवल स्वस्थ भोजन खाना|दिन भर थोड़ा-थोड़ा खाना|अत्यधिक खाना और फिर उल्टी या जुलाब का उपयोग करना|HomeScience\_C5|30
34|किशोरों में 'हीरो वर्शिप' (Hero Worship) की प्रवृत्ति किस विकास से संबंधित है?|शारीरिक विकास|सामाजिक विकास|संज्ञानात्मक विकास|नैतिक विकास|सामाजिक विकास|HomeScience\_C5|30
35|किशोरावस्था में लड़कियों के लिए आयरन की बढ़ी हुई आवश्यकता का मुख्य कारण क्या है?|विकास का उछाल|मासिक धर्म के कारण रक्त की हानि|वसा का जमाव|केवल मानसिक कार्य|मासिक धर्म के कारण रक्त की हानि|HomeScience\_C5|30
36|किशोरावस्था के अंत तक व्यक्ति किस अवस्था में प्रवेश करता है?|बाल्यावस्था|प्रारंभिक प्रौढ़ावस्था|वृद्धावस्था|शैशवावस्था|प्रारंभिक प्रौढ़ावस्था|HomeScience\_C5|30
37|किशोरों के लिए किस प्रकार के भोजन से बचना सबसे अच्छा है?|फल और सब्जियां|साबुत अनाज|अत्यधिक प्रसंस्कृत (Processed) और शर्करा युक्त भोजन|प्रोटीन युक्त खाद्य पदार्थ|अत्यधिक प्रसंस्कृत (Processed) और शर्करा युक्त भोजन|HomeScience\_C5|30
38|कोहलबर्ग के नैतिक विकास के सिद्धांत के अनुसार, किशोर किस स्तर पर होते हैं?|पूर्व-परंपरागत स्तर|परंपरागत स्तर|उत्तर-परंपरागत स्तर|संवेदी प्रेरक स्तर|उत्तर-परंपरागत स्तर|HomeScience\_C5|30
39|समय प्रबंधन (Time Management) कौशल किस अवस्था में महत्वपूर्ण हो जाते हैं?|शैशवावस्था|उत्तर बाल्यावस्था|किशोरावस्था|वृद्धावस्था|किशोरावस्था|HomeScience\_C5|30
40|लिंग पहचान (Gender Identity) का विकास किस अवस्था में स्थिर होता है?|प्रारंभिक बाल्यावस्था|किशोरावस्था|प्रौढ़ावस्था|उत्तर बाल्यावस्था|किशोरावस्था|HomeScience\_C5|30
41|किशोरावस्था में परिवार के सदस्यों के साथ संबंधों में क्या बदलाव आता है?|निर्भरता में वृद्धि|स्वतंत्रता की इच्छा के कारण दूरी और टकराव|संचार में सुधार|कोई बदलाव नहीं|स्वतंत्रता की इच्छा के कारण दूरी और टकराव|HomeScience\_C5|30
42|फास्ट फूड (Fast Food) का अधिक सेवन किशोरों में किस समस्या को जन्म दे सकता है?|एनीमिया|मोटापा (Obesity)|त्वचा का साफ होना|अच्छी नींद|मोटापा (Obesity)|HomeScience\_C5|30
43|किशोरावस्था में होने वाले यौन परिवर्तनों को क्या कहा जाता है?|विकास का उछाल|यौवनारंभ (Puberty)|संवेगात्मक विस्फोट|मानसिक विकास|यौवनारंभ (Puberty)|HomeScience\_C5|30
44|आत्म-सम्मान को बेहतर बनाने के लिए किशोरों को क्या करना चाहिए?|दूसरों की नकल करना|अपनी शक्तियों और सीमाओं को पहचानना|समूह से अलग रहना|केवल पढ़ाई पर ध्यान देना|अपनी शक्तियों और सीमाओं को पहचानना|HomeScience\_C5|30
45|किशोरों के लिए यौन संचारित संक्रमणों (STIs) से बचाव का सबसे प्रभावी तरीका क्या है?|केवल यौन शिक्षा|सुरक्षित यौन संबंध (Safe Sexual Practices)|तनाव प्रबंधन|संतुलित आहार|सुरक्षित यौन संबंध (Safe Sexual Practices)|HomeScience\_C5|30
46|किशोरों में स्वस्थ आदतें जैसे व्यायाम और सही खान-पान क्यों आवश्यक हैं?|केवल मोटापा कम करने के लिए|शारीरिक और मानसिक स्वास्थ्य को बनाए रखने के लिए|केवल अकादमिक प्रदर्शन के लिए|दोस्तों के बीच लोकप्रिय होने के लिए|शारीरिक और मानसिक स्वास्थ्य को बनाए रखने के लिए|HomeScience\_C5|30
47|किशोरावस्था में नेतृत्व कौशल (Leadership Skills) का विकास किस क्षेत्र में होता है?|केवल परिवार|स्कूल और सहपाठी समूह|केवल धार्मिक संस्थान|किसी भी क्षेत्र में नहीं|स्कूल और सहपाठी समूह|HomeScience\_C5|30
48|किशोरावस्था में भावनाओं के प्रबंधन (Emotion Management) में कौन सा कौशल सबसे महत्वपूर्ण है?|दबाव को नजरअंदाज करना|सकारात्मक मुकाबला कौशल (Positive Coping Skills) सीखना|खुद को अकेला रखना|हर बात पर बहस करना|सकारात्मक मुकाबला कौशल (Positive Coping Skills) सीखना|HomeScience\_C5|30
49|किशोरावस्था में किस प्रकार के खेल शारीरिक स्वास्थ्य के लिए सबसे अधिक फायदेमंद होते हैं?|बैठकर खेले जाने वाले खेल|आउटडोर खेल (Outdoor Sports)|मोबाइल गेम|केवल मानसिक खेल|आउटडोर खेल (Outdoor Sports)|HomeScience\_C5|30
50|किशोरावस्था में उचित पोषण क्यों महत्वपूर्ण है?|केवल ऊंचाई बढ़ाने के लिए|तीव्र शारीरिक और मानसिक विकास का समर्थन करने के लिए|केवल वसा जमा करने के लिए|रोगों के प्रति प्रतिरोधक क्षमता कम करने के लिए|तीव्र शारीरिक और मानसिक विकास का समर्थन करने के लिए|HomeScience\_C5|30
